City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Portland,US,45.5234,-122.6762,74.89,53,20,1.01,few clouds
New Norfolk,AU,-42.7826,147.0587,56.75,73,99,1.99,overcast clouds
Laguna,US,38.421,-121.4238,95.09,19,1,1.01,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,72.86,87,99,6.73,overcast clouds
Tourlaville,FR,49.6383,-1.5664,58.66,88,0,9.22,clear sky
Ambilobe,MG,-13.2,49.05,67.33,73,26,4.7,scattered clouds
Ancud,CL,-41.8697,-73.8203,47.73,76,97,11.52,overcast clouds
Gat,IL,31.61,34.7642,72.28,77,2,2.24,clear sky
Vanimo,PG,-2.6741,141.3028,78.67,87,97,1.99,overcast clouds
Grindavik,IS,63.8424,-22.4338,42.75,81,0,21.85,clear sky
Nishihara,JP,26.1842,127.7558,80.65,76,20,5.75,few clouds
Butaritari,KI,3.0707,172.7902,82.65,67,83,19.8,broken clouds
Anadyr,RU,64.75,177.4833,32.5,93,75,17.0,shower snow
Zyryanskoye,RU,56.8306,86.6258,30.9,96,100,7.94,overcast clouds
Kandrian,PG,-6.2167,149.55,80.49,76,100,1.07,overcast clouds
Novyye Lyady,RU,58.0536,56.6039,40.24,94,79,3.65,broken clouds
Wilmington,US,34.2257,-77.9447,76.95,57,0,1.99,clear sky
Bandarbeyla,SO,9.4942,50.8122,78.6,81,47,21.18,light rain
Sao Filipe,CV,14.8961,-24.4956,79.52,82,28,9.24,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,71.15,74,41,12.08,scattered clouds
Mount Gambier,AU,-37.8333,140.7667,56.07,79,100,8.72,light rain
Matelandia,BR,-25.2408,-53.9964,69.31,94,64,5.88,broken clouds
Roebourne,AU,-20.7833,117.1333,67.53,33,5,10.02,clear sky
Stornoway,GB,58.2093,-6.3865,52.93,93,40,4.61,scattered clouds
Bardiyah,LY,31.7561,25.0865,70.88,63,1,9.73,clear sky
Mareeba,AU,-17.0,145.4333,79.45,73,31,1.97,scattered clouds
Bawana,IN,28.8,77.0333,82.45,59,23,4.43,few clouds
Port Hardy,CA,50.6996,-127.4199,51.98,93,90,5.75,light rain
Thompson,CA,55.7435,-97.8558,60.96,63,75,2.3,broken clouds
Bandar-E Anzali,IR,37.4727,49.4622,64.35,89,100,14.83,overcast clouds
Adrar,MR,20.5022,-10.0711,89.94,11,10,4.41,clear sky
Tuatapere,NZ,-46.1333,167.6833,52.83,72,100,2.91,overcast clouds
Warrington,GB,53.3925,-2.5802,50.86,94,40,5.99,scattered clouds
Cockburn Town,TC,21.4612,-71.1419,80.56,74,75,8.05,broken clouds
Nome,US,64.5011,-165.4064,37.17,60,40,17.27,scattered clouds
Qaanaaq,GL,77.484,-69.3632,29.25,92,100,15.1,light snow
Atambua,ID,-9.1061,124.8925,73.92,80,47,3.04,scattered clouds
Paamiut,GL,61.994,-49.6678,40.55,71,28,12.55,scattered clouds
Plouzane,FR,48.3833,-4.6167,55.49,100,75,6.91,light rain
Channel-Port Aux Basques,CA,47.5702,-59.1367,53.06,81,100,10.09,overcast clouds
Talcahuano,CL,-36.7167,-73.1167,53.28,58,40,16.11,scattered clouds
Fort-Shevchenko,KZ,44.5086,50.263,54.27,45,59,15.7,broken clouds
Padang,ID,-0.9492,100.3543,73.45,81,100,2.35,overcast clouds
Naryan-Mar,RU,67.6713,53.087,34.88,83,91,8.1,overcast clouds
Basco,PH,20.4487,121.9702,83.43,68,52,19.33,broken clouds
Sobolevo,RU,54.4299,31.8996,43.14,80,100,6.87,light rain
Severo-Kurilsk,RU,50.6789,156.125,47.44,96,100,29.39,heavy intensity rain
Leningradskiy,RU,69.3833,178.4167,16.9,72,16,12.03,few clouds
Durango,MX,24.8333,-104.8333,73.65,43,100,6.29,overcast clouds
Olafsvik,IS,64.8945,-23.7142,40.44,75,100,28.39,overcast clouds
Altus,US,34.6381,-99.334,81.91,46,1,1.99,clear sky
Provideniya,RU,64.3833,-173.3,28.33,66,2,2.37,clear sky
Chuy,UY,-33.6971,-53.4616,55.54,82,25,7.78,scattered clouds
Dikson,RU,73.5069,80.5464,33.57,94,100,9.86,overcast clouds
Lebu,CL,-37.6167,-73.65,50.13,62,7,17.56,clear sky
Chapada Dos Guimaraes,BR,-15.4606,-55.7497,89.26,29,86,7.56,overcast clouds
Sioni,GE,41.9895,45.0239,46.76,96,100,2.39,overcast clouds
Georgetown,MY,5.4112,100.3354,80.53,91,20,2.3,few clouds
Sampit,ID,-2.5333,112.95,72.37,99,76,1.61,broken clouds
Freeport,US,40.6576,-73.5832,75.29,65,75,1.99,broken clouds
Norman Wells,CA,65.282,-126.8329,39.24,75,75,12.66,broken clouds
Rapid Valley,US,44.0625,-103.1463,77.32,28,1,1.01,clear sky
Ketchikan,US,55.3422,-131.6461,44.58,87,90,3.44,moderate rain
Chernenko,RU,44.365,39.3103,46.04,95,56,2.89,broken clouds
Sola,VU,-13.8833,167.55,79.52,76,100,17.16,overcast clouds
Dolores,AR,-36.3132,-57.6792,57.76,75,99,6.64,overcast clouds
Codrington,AU,-38.2667,141.9667,54.72,89,49,6.98,scattered clouds
Port Blair,IN,11.6667,92.75,80.26,81,100,9.98,overcast clouds
Arlit,NE,18.7369,7.3853,86.41,16,0,13.78,clear sky
Sao Joao Da Boa Vista,BR,-21.9692,-46.7981,69.75,86,86,6.98,overcast clouds
Upernavik,GL,72.7868,-56.1549,29.73,74,80,4.56,broken clouds
Mahebourg,MU,-20.4081,57.7,71.26,94,40,14.97,light rain
Alofi,NU,-19.0595,-169.9187,80.49,78,85,18.41,light rain
Roslavl,RU,53.9528,32.8639,40.53,85,84,5.77,broken clouds
Castro,BR,-24.7911,-50.0119,60.87,99,100,2.42,heavy intensity rain
Klaksvik,FO,62.2266,-6.589,49.12,87,96,18.59,overcast clouds
Cocal,BR,-28.6167,-49.35,68.32,72,100,2.84,light rain
Gayny,RU,60.3071,54.3241,38.61,83,100,3.53,overcast clouds
Maningrida,AU,-12.0667,134.2667,80.22,83,74,6.93,broken clouds
Nikolskoye,RU,59.7035,30.7861,46.8,93,85,5.06,overcast clouds
Halmaj,HU,48.25,21.0,48.04,80,44,1.12,scattered clouds
Avarua,CK,-21.2078,-159.775,75.25,88,75,8.05,moderate rain
Boueni,YT,-12.9025,45.0761,76.98,74,64,10.74,broken clouds
Bredasdorp,ZA,-34.5322,20.0403,45.72,81,100,6.91,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,57.7,57,3,7.23,clear sky
Jasper,US,37.2001,-94.3502,75.81,78,90,3.0,overcast clouds
Borgarnes,IS,64.5383,-21.9206,42.85,77,100,18.54,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,0,12.66,clear sky
Sinnamary,GF,5.3833,-52.95,80.74,80,98,9.73,overcast clouds
San Vicente,AR,-26.6167,-54.1333,65.01,96,100,5.77,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,87.51,88,90,4.61,overcast clouds
Hami,CN,42.8,93.45,50.47,32,100,10.42,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,73.71,80,4,3.6,clear sky
Tarakan,ID,3.3,117.6333,76.5,94,75,5.75,broken clouds
Narsaq,GL,60.9167,-46.05,57.42,52,7,9.42,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,56.12,55,90,3.0,light rain
Fairbanks,US,64.8378,-147.7164,35.6,94,90,4.61,light snow
Yumen,CN,40.2833,97.2,41.74,58,95,12.68,overcast clouds
Aksu,CN,41.1231,80.2644,59.36,21,69,18.86,broken clouds
Labuhan,ID,-6.8844,112.2051,77.16,76,62,11.34,broken clouds
Hithadhoo,MV,-0.6,73.0833,82.6,75,13,12.1,few clouds
Alihe,CN,50.5667,123.7167,32.45,83,96,4.32,overcast clouds
Caravelas,BR,-17.7125,-39.2481,76.62,80,0,13.04,clear sky
Thinadhoo,MV,0.5333,72.9333,83.08,70,5,13.18,clear sky
Ust-Nera,RU,64.5667,143.2,28.17,86,100,2.17,overcast clouds
Karratha,AU,-20.7377,116.8463,67.33,33,4,9.91,clear sky
Manakara,MG,-22.1333,48.0167,68.05,90,6,8.68,clear sky
Samarai,PG,-10.6167,150.6667,80.83,80,72,5.08,broken clouds
Galveston,US,29.3669,-94.9669,84.2,78,1,0.0,clear sky
Krasnovishersk,RU,60.4078,57.082,29.59,95,13,4.0,few clouds
Olga,RU,43.7444,135.2892,45.91,75,46,3.44,scattered clouds
Guerrero Negro,MX,27.9769,-114.0611,86.97,39,0,12.1,clear sky
Coquimbo,CL,-29.9533,-71.3436,58.73,67,0,16.11,clear sky
Opuwo,NA,-18.0607,13.84,60.4,34,22,5.23,few clouds
Kaitangata,NZ,-46.2817,169.8464,50.54,81,100,5.64,overcast clouds
Pevek,RU,69.7008,170.3133,24.78,71,18,21.99,few clouds
Mersing,MY,2.4312,103.8405,73.31,100,99,4.61,overcast clouds
Pisco,PE,-13.7,-76.2167,65.01,77,3,21.85,clear sky
San Quintin,MX,30.4833,-115.95,78.48,42,74,8.39,broken clouds
Wangkui,CN,46.8333,126.5,48.47,60,100,18.43,light rain
Villa Carlos Paz,AR,-31.4241,-64.4978,65.39,29,60,4.0,broken clouds
Roald,NO,62.5833,6.1333,51.33,87,32,4.61,scattered clouds
Udachnyy,RU,66.4167,112.4,27.75,65,95,2.28,overcast clouds
Vallenar,CL,-28.5708,-70.7581,71.98,31,42,5.7,scattered clouds
Salalah,OM,17.0151,54.0924,80.69,89,75,10.36,broken clouds
Eirunepe,BR,-6.6603,-69.8736,84.31,64,96,2.75,overcast clouds
Rezina,MD,47.7492,28.9622,47.03,59,0,3.8,clear sky
Hasaki,JP,35.7333,140.8333,68.4,78,15,11.32,few clouds
Sergeyevka,KZ,53.88,67.4158,35.13,80,74,6.98,broken clouds
Chabahar,IR,25.2919,60.643,81.45,82,100,32.17,overcast clouds
Grevesmuhlen,DE,53.8667,11.1833,59.85,79,100,17.81,overcast clouds
Dryden,CA,49.7833,-92.7503,59.29,94,90,9.22,overcast clouds
Korla,CN,41.7597,86.1469,48.88,55,100,15.79,overcast clouds
Shimoda,JP,34.6667,138.95,72.1,80,40,13.78,scattered clouds
Buarcos,PT,40.166,-8.8768,68.67,99,100,16.91,overcast clouds
Sechura,PE,-5.5569,-80.8222,72.1,60,30,16.22,scattered clouds
Kaniama,CD,-7.5667,24.1833,68.45,92,100,2.73,moderate rain
Lagoa,PT,39.05,-27.9833,70.59,90,98,15.75,overcast clouds
Chokurdakh,RU,70.6333,147.9167,8.24,97,51,4.43,broken clouds
Campbeltown,GB,55.4258,-5.6076,50.05,79,12,15.19,few clouds
Tasiilaq,GL,65.6145,-37.6368,37.56,63,1,4.72,clear sky
Manokwari,ID,-0.8667,134.0833,78.85,82,89,2.21,overcast clouds
Lavrentiya,RU,65.5833,-171.0,27.52,74,7,8.46,clear sky
Prince Rupert,CA,54.3161,-130.3201,51.49,77,90,14.97,light rain
Mahajanga,MG,-15.7167,46.3167,71.62,88,20,4.61,few clouds
Pangai,TO,-19.8,-174.35,75.79,84,96,23.22,overcast clouds
Khatanga,RU,71.9667,102.5,15.78,98,63,2.68,broken clouds
Naze,JP,28.3667,129.4833,77.92,69,0,13.76,clear sky
Kayes,ML,14.0,-11.0,79.39,74,38,5.28,scattered clouds
Saint George,US,37.1041,-113.5841,86.25,12,1,5.75,clear sky
Barraute,CA,48.4335,-77.6328,53.87,73,97,4.36,overcast clouds
Corod,RO,45.9,27.6167,48.74,59,4,0.29,clear sky
Ariquemes,BR,-9.9133,-63.0408,86.07,53,85,2.08,overcast clouds
Buala,SB,-8.145,159.5921,82.51,76,83,3.27,light rain
Sitka,US,57.0531,-135.33,48.09,66,75,12.66,light rain
Bubaque,GW,11.2833,-15.8333,82.06,77,100,6.87,moderate rain
Zaysan,KZ,47.4667,84.8667,33.15,75,83,4.81,broken clouds
Yar-Sale,RU,66.8333,70.8333,28.36,88,76,10.96,broken clouds
Hobyo,SO,5.3505,48.5268,78.17,88,6,20.8,clear sky
Saint-Francois,FR,46.4154,3.9054,67.48,56,0,17.27,clear sky
Kamenka,RU,51.3223,42.7678,47.64,73,67,3.53,broken clouds
Constitucion,CL,-35.3333,-72.4167,54.73,56,0,19.42,clear sky
Half Moon Bay,US,37.4636,-122.4286,94.41,34,1,5.75,clear sky
Saraland,US,30.8207,-88.0706,81.05,87,100,7.99,overcast clouds
Muravlenko,RU,63.7898,74.523,28.71,97,100,15.5,light snow
Tagusao,PH,9.1924,117.8141,80.08,80,86,3.94,overcast clouds
Kavieng,PG,-2.5744,150.7967,82.87,70,99,6.04,overcast clouds
Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,46.42,62,1,1.97,clear sky
Sulangan,PH,11.1373,123.7228,82.4,77,100,6.46,overcast clouds
Pedernales,DO,18.0384,-71.744,85.32,70,100,2.75,overcast clouds
Waitara,NZ,-38.925,174.25,56.71,77,100,8.16,overcast clouds
Mecca,SA,21.4267,39.8261,86.65,36,47,5.01,scattered clouds
Thurso,GB,58.5927,-3.5259,52.05,91,100,9.04,overcast clouds
Sao Borja,BR,-28.6606,-56.0044,71.24,84,50,2.19,scattered clouds
Paramonga,PE,-10.6667,-77.8333,64.67,79,45,8.52,scattered clouds
Hambantota,LK,6.1241,81.1185,78.58,84,57,10.78,broken clouds
Phan Thiet,VN,10.9333,108.1,75.11,92,100,4.72,moderate rain
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.55,84,94,1.99,light rain
Svecha,RU,58.2785,47.5164,43.75,94,99,2.8,overcast clouds
Kununurra,AU,-15.7667,128.7333,76.98,94,58,2.3,broken clouds
Sheridan,US,44.8333,-106.9173,77.38,20,1,3.0,clear sky
Waingapu,ID,-9.6567,120.2641,77.02,81,99,6.08,overcast clouds
Vanavara,RU,60.34,102.2797,30.02,95,100,4.54,overcast clouds
Belmonte,BR,-15.8631,-38.8828,77.5,82,4,12.41,clear sky
Chipinge,ZW,-20.1883,32.6236,65.86,53,5,4.45,clear sky
Tilichiki,RU,60.4667,166.1,37.67,86,100,5.95,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,74.3,90,46,14.47,scattered clouds
Ocampo,MX,21.65,-101.5,66.96,64,89,6.06,overcast clouds
Sorochinsk,RU,52.4338,53.1583,48.96,74,100,4.54,overcast clouds
Iqaluit,CA,63.7506,-68.5145,33.53,93,20,0.0,few clouds
Uruana,BR,-15.4981,-49.6875,85.69,40,74,4.23,broken clouds
Nanortalik,GL,60.1432,-45.2371,41.9,69,0,12.84,clear sky
Karakol,KG,42.4907,78.3936,34.16,80,71,3.74,broken clouds
Bavly,RU,54.393,53.2602,45.41,92,100,3.78,overcast clouds
Raudeberg,NO,61.9875,5.1352,52.47,67,60,8.28,broken clouds
Ihosy,MG,-22.4,46.1167,64.15,86,36,4.52,scattered clouds
Neuquen,AR,-38.9516,-68.0591,58.89,26,0,12.66,clear sky
Kamaishi,JP,39.2667,141.8833,61.36,70,0,4.74,clear sky
Punta Alta,AR,-38.8759,-62.0736,51.21,68,63,28.61,broken clouds
Viransehir,TR,37.2353,39.7631,76.24,28,12,6.46,few clouds
Colquiri,BO,-17.4167,-67.1333,50.81,39,53,3.06,broken clouds
Tomatlan,MX,19.9333,-105.25,86.25,66,39,7.78,scattered clouds
Xining,CN,36.6167,101.7667,51.1,64,81,1.7,broken clouds
Concarneau,FR,47.875,-3.9225,57.06,94,100,7.14,light rain
Takoradi,GH,4.8845,-1.7554,76.8,90,99,7.54,overcast clouds
Itarema,BR,-2.9248,-39.9167,78.84,80,9,16.04,clear sky
Csenger,HU,47.8358,22.681,50.9,53,18,6.55,few clouds
Floro,NO,61.5996,5.0328,53.56,66,49,13.8,scattered clouds
Evensk,RU,61.95,159.2333,34.68,88,18,8.95,few clouds
Dehloran,IR,32.6941,47.2679,92.01,11,0,13.22,clear sky
Bingol,TR,38.8847,40.4939,62.2,54,23,4.52,few clouds
Gazanjyk,TM,39.2446,55.5154,56.5,26,0,15.26,clear sky
Pinheiro Machado,BR,-31.5783,-53.3811,57.06,87,82,6.85,broken clouds
Acari,PE,-15.4311,-74.6158,69.28,67,37,7.47,scattered clouds
Horqueta,PY,-23.3428,-57.0597,94.08,32,92,3.89,overcast clouds
Bata,GQ,1.8639,9.7658,77.18,87,69,5.08,broken clouds
Banepa,NP,27.6298,85.5214,66.52,94,75,0.0,broken clouds
Alamosa,US,37.4695,-105.87,64.35,36,75,3.44,broken clouds
Emerald,AU,-23.5333,148.1667,70.34,43,0,5.75,clear sky
Baiyin,CN,36.5583,104.2081,61.68,33,100,15.59,overcast clouds
Port-Gentil,GA,-0.7193,8.7815,76.96,88,20,11.16,few clouds
Lakselv,NO,70.0513,24.9718,53.42,71,90,17.27,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,46.17,85,100,17.4,overcast clouds
Barberena,GT,14.3094,-90.3611,82.04,86,83,2.08,broken clouds
Penzance,GB,50.1186,-5.5371,54.61,64,100,16.08,overcast clouds
Khandyga,RU,62.6667,135.6,31.91,95,100,1.3,overcast clouds
Avera,US,33.194,-82.5271,84.07,49,95,0.74,overcast clouds
Lewiston,US,44.1003,-70.2148,57.54,93,90,0.0,overcast clouds
Myre,NO,69.1036,15.9492,53.02,84,100,10.8,overcast clouds
Herre,NO,59.1,9.5667,54.91,95,100,4.83,light rain
Harper,LR,4.375,-7.7169,77.9,83,81,6.02,broken clouds
Cenad,RO,46.1333,20.5833,48.45,48,36,8.14,light rain
Bonfim,BR,3.0833,-59.95,83.05,62,95,6.22,overcast clouds
Tabas,IR,33.5959,56.9244,72.57,25,0,7.16,clear sky
General Roca,AR,-39.0333,-67.5833,59.4,16,88,19.28,overcast clouds
Fort Morgan,US,40.2503,-103.8,75.85,13,1,8.05,clear sky
East London,ZA,-33.0153,27.9116,55.08,56,42,21.61,scattered clouds
Haines Junction,CA,60.7522,-137.5108,44.55,53,99,8.05,overcast clouds
Oswego,US,43.4501,-76.1497,73.35,82,54,3.65,broken clouds
Vardo,NO,70.3705,31.1107,49.14,83,99,26.89,overcast clouds
Chunoyar,RU,57.4467,97.3217,34.27,94,100,1.61,overcast clouds
Namibe,AO,-15.1961,12.1522,60.51,85,2,7.38,clear sky
Sharjah,AE,25.3573,55.4033,91.38,68,0,5.75,clear sky
Kayankulam,IN,9.1833,76.5,76.17,94,51,5.68,broken clouds
Namatanai,PG,-3.6667,152.4333,82.42,70,98,3.09,overcast clouds
Yenagoa,NG,4.9247,6.2642,75.97,93,100,3.71,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,37.74,82,61,2.37,broken clouds
Kahta,TR,37.7855,38.6237,76.37,32,17,5.21,few clouds
Prince George,CA,53.9166,-122.753,58.44,35,20,3.0,few clouds
Garowe,SO,8.4054,48.4845,78.15,68,98,12.33,light rain
Lompoc,US,34.6391,-120.4579,93.34,57,1,13.8,clear sky
Robertsport,LR,6.7533,-11.3686,77.72,88,100,5.21,moderate rain
Schwelm,DE,51.2833,7.2833,64.89,76,100,18.16,light rain
Surgut,RU,61.25,73.4167,32.18,100,40,8.95,light snow
Cidreira,BR,-30.1811,-50.2056,62.82,75,91,8.99,overcast clouds
Quelimane,MZ,-17.8786,36.8883,78.75,83,0,11.5,clear sky
Umm Kaddadah,SD,13.6017,26.6876,87.26,20,10,11.1,clear sky
Rosetta,EG,31.4044,30.4164,75.02,67,100,14.97,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,71.1,73,61,11.83,light rain
Rawson,AR,-43.3002,-65.1023,48.9,43,53,23.31,broken clouds
Camacha,PT,33.0833,-16.3333,67.53,73,75,9.22,broken clouds
Falmouth,GB,50.1544,-5.0711,54.5,82,100,5.75,overcast clouds
Strezhevoy,RU,60.7333,77.5889,31.98,97,90,3.76,overcast clouds
Seoul,KR,37.5683,126.9778,65.64,100,1,5.75,mist
Sovetskaya Gavan,RU,48.9723,140.2878,46.58,57,9,12.15,clear sky
Itupiranga,BR,-5.1347,-49.3267,75.52,95,96,2.51,overcast clouds
Rorvik,NO,64.8621,11.2373,55.29,72,100,25.77,overcast clouds
Aripuana,BR,-9.1667,-60.6333,80.8,69,72,0.78,broken clouds
Cairns,AU,-16.9167,145.7667,84.07,75,59,1.14,broken clouds
High Level,CA,58.5169,-117.136,53.71,58,75,6.91,light rain
Vacaria,BR,-28.5122,-50.9339,59.4,95,100,5.73,overcast clouds
Aranos,NA,-24.1333,19.1167,53.62,25,0,10.0,clear sky
Mount Isa,AU,-20.7333,139.5,73.17,25,0,5.75,clear sky
Poum,NC,-20.2333,164.0167,75.58,82,22,11.34,few clouds
Oranjestad,AW,12.524,-70.027,84.9,77,20,8.01,few clouds
Grand Gaube,MU,-20.0064,57.6608,71.38,78,32,7.0,light rain
Ust-Kulom,RU,61.6864,53.6902,32.38,93,65,3.8,broken clouds
Mackay,AU,-21.15,149.2,83.68,83,10,4.61,clear sky
Navirai,BR,-23.065,-54.1906,70.48,94,96,8.37,heavy intensity rain
Presque Isle,US,46.6811,-68.0159,54.03,77,90,5.75,overcast clouds
Yantzaza,EC,-3.8278,-78.7594,77.31,79,93,2.71,light rain
Clyde River,CA,70.4692,-68.5914,44.83,65,90,16.11,light rain
Coffs Harbour,AU,-30.3,153.1333,69.76,59,1,4.61,clear sky
Nemuro,JP,43.3236,145.575,57.0,75,63,19.08,broken clouds
Hella,NO,67.2,14.4333,56.88,64,75,18.41,broken clouds
Souillac,MU,-20.5167,57.5167,71.37,94,40,14.97,light rain
Montevideo,UY,-34.8335,-56.1674,60.51,77,90,6.91,light rain
Dwarka,IN,22.2394,68.9678,81.03,82,95,6.13,overcast clouds
Baghmara,IN,23.795,86.2085,75.42,86,72,3.91,broken clouds
Baykit,RU,61.67,96.37,27.84,98,90,1.01,overcast clouds
Bathsheba,BB,13.2167,-59.5167,84.81,70,40,24.16,scattered clouds
Baruun-Urt,MN,46.6806,113.2792,36.03,89,94,8.32,overcast clouds
Santo Antonio Do Ica,BR,-3.1022,-67.9397,80.89,79,87,1.34,light rain
Ballina,AU,-28.8667,153.5667,72.79,49,32,10.36,scattered clouds
Hendek,TR,40.7994,30.7481,55.72,87,90,1.32,overcast clouds
Marawi,PH,7.9986,124.2928,64.65,93,69,1.39,broken clouds
Diamantino,BR,-14.4086,-56.4461,90.1,34,83,7.36,broken clouds
